text,sentiment,sentiment_num,Date,Price,Price_MA,Sentiment_MA,price_smooth,sentiment_smooth
Selling pressure reduces gold value because of global tensions,negative,-1,2020-08-02,1571.846577022526,1576.2150324319114,-0.2,1576.2150324319114,-0.2
Investors are worried about gold due to stock market fluctuations,negative,-1,2020-08-03,1571.7688199600927,1574.9687187266263,-0.2,1574.9687187266263,-0.2
Gold market weakens as stock market fluctuations declines,negative,-1,2020-08-04,1570.4128377700015,1573.3619697486583,-0.3,1573.3619697486583,-0.3
Gold demand is decreasing amid economic uncertainty,negative,-1,2020-08-05,1568.671803119797,1572.6973338712155,-0.5,1572.6973338712155,-0.5
Gold prices are falling because of economic uncertainty,negative,-1,2020-08-06,1575.6929929085184,1572.2686051247024,-0.6,1572.2686051247024,-0.6
Gold demand is increasing amid stock market fluctuations,positive,1,2020-08-07,1578.6752462735992,1572.0419597856155,-0.5,1572.0419597856155,-0.5
Gold remains unchanged in light of global tensions,neutral,0,2020-08-08,1580.7158637093114,1572.2691038168282,-0.5,1572.2691038168282,-0.5
Gold demand is decreasing amid global tensions,negative,-1,2020-08-09,1583.6632547631102,1573.1860599592778,-0.7,1573.1860599592778,-0.7
Gold market shows little change amid central bank policies,neutral,0,2020-08-10,1593.1685532713316,1575.9240550607356,-0.6,1575.9240550607356,-0.6
Strong buying interest pushes gold higher due to inflation,positive,1,2020-08-11,1595.3640938486417,1578.998004264693,-0.4,1578.998004264693,-0.4
Gold prices are rising due to weak currency,positive,1,2020-08-12,1602.7360400049124,1582.0869505629316,-0.2,1582.0869505629316,-0.2
Gold prices are rising due to central bank policies,positive,1,2020-08-13,1602.4821918761988,1585.1582877545422,0.0,1585.1582877545422,0.0
Gold prices remain stable despite global tensions,neutral,0,2020-08-14,1604.1463096890457,1588.5316349464467,0.1,1588.5316349464467,0.1
No major movement in gold prices because of inflation,neutral,0,2020-08-15,1608.460290891614,1592.5104837236283,0.2,1592.5104837236283,0.2
Investors are optimistic about gold because of geopolitical risks,positive,1,2020-08-16,1606.498259717282,1595.5910104045047,0.4,1595.5910104045047,0.4
Gold remains unchanged in light of inflation,neutral,0,2020-08-17,1604.6652893554024,1598.1900147126848,0.3,1598.1900147126848,0.3
Gold is gaining value as geopolitical risks improves,positive,1,2020-08-18,1600.6182660939498,1600.180254951149,0.4,1600.180254951149,0.4
Gold prices are rising due to central bank policies,positive,1,2020-08-19,1590.042447589698,1600.8181742338077,0.6,1600.8181742338077,0.6
Investors are optimistic about gold because of stock market fluctuations,positive,1,2020-08-20,1583.0430170036702,1599.8056206070416,0.7,1599.8056206070416,0.7
Gold is trading sideways due to stock market fluctuations,neutral,0,2020-08-21,1578.623738380358,1598.1315850602132,0.6,1598.1315850602132,0.6
Selling pressure reduces gold value because of weak currency,negative,-1,2020-08-22,1575.1080806188809,1595.36878912161,0.4,1595.36878912161,0.4
Gold prices are falling because of market volatility,negative,-1,2020-08-23,1577.2754516556,1592.84811509955,0.2,1592.84811509955,0.2
Investors are optimistic about gold because of central bank policies,positive,1,2020-08-24,1587.2721283602866,1591.160696966674,0.3,1591.160696966674,0.3
No major movement in gold prices because of global tensions,neutral,0,2020-08-25,1590.0419188985684,1589.3188597673695,0.3,1589.3188597673695,0.3
No major movement in gold prices because of stock market fluctuations,neutral,0,2020-08-26,1588.5605396690253,1587.525087762544,0.2,1587.525087762544,0.2
Selling pressure reduces gold value because of central bank policies,negative,-1,2020-08-27,1581.2930266741591,1585.1878614944196,0.1,1585.1878614944196,0.1
Investors are worried about gold due to weak currency,negative,-1,2020-08-28,1585.4276226377992,1583.6687971488043,-0.1,1583.6687971488043,-0.1
Selling pressure reduces gold value because of interest rate changes,negative,-1,2020-08-29,1580.42844847651,1582.7073972374858,-0.3,1582.7073972374858,-0.3
Selling pressure reduces gold value because of stock market fluctuations,negative,-1,2020-08-30,1577.5545957796517,1582.158555115084,-0.5,1582.158555115084,-0.5
Gold demand is decreasing amid economic uncertainty,negative,-1,2020-08-31,1575.3817298224865,1581.8343542592968,-0.6,1581.8343542592968,-0.6
Gold demand is increasing amid stock market fluctuations,positive,1,2020-09-01,1571.6672386247924,1581.490270059888,-0.4,1581.490270059888,-0.4
Gold demand is increasing amid inflation,positive,1,2020-09-02,1576.409349256014,1581.4036598199295,-0.2,1581.4036598199295,-0.2
Investors are worried about gold due to economic uncertainty,negative,-1,2020-09-03,1573.0292487077113,1579.979371854672,-0.4,1579.979371854672,-0.4
Gold prices remain stable despite economic uncertainty,neutral,0,2020-09-04,1573.2046614045048,1578.2956461052656,-0.4,1578.2956461052656,-0.4
Gold is gaining value as strong dollar improves,positive,1,2020-09-05,1574.3475844836717,1576.87435058673,-0.3,1576.87435058673,-0.3
Investors are optimistic about gold because of strong dollar,positive,1,2020-09-06,1571.7724095435808,1575.9222888736724,-0.1,1575.9222888736724,-0.1
Gold is trading sideways due to strong dollar,neutral,0,2020-09-07,1573.0881912183218,1574.688345731725,0.0,1574.688345731725,0.0
Investors are worried about gold due to investor sentiment,negative,-1,2020-09-08,1571.2170196173274,1573.7672028458062,0.0,1573.7672028458062,0.0
Gold demand is increasing amid strong dollar,positive,1,2020-09-09,1579.9183349616817,1574.003576764009,0.2,1574.003576764009,0.2
Gold demand is decreasing amid inflation,negative,-1,2020-09-10,1574.5157388612836,1573.916977667889,0.2,1573.916977667889,0.2
Gold is trading sideways due to economic uncertainty,neutral,0,2020-09-11,1576.4417161812398,1574.3944254235337,0.1,1574.3944254235337,0.1
Gold prices are rising due to inflation,positive,1,2020-09-12,1579.6626985130408,1574.7197603492364,0.1,1574.7197603492364,0.1
Gold prices remain stable despite strong dollar,neutral,0,2020-09-13,1584.1895605038253,1575.8357915288475,0.2,1575.8357915288475,0.2
Investors are worried about gold due to central bank policies,negative,-1,2020-09-14,1571.7333035450074,1575.688655742898,0.1,1575.688655742898,0.1
Gold remains unchanged in light of economic uncertainty,neutral,0,2020-09-15,1575.6378817670434,1575.817685471235,0.0,1575.817685471235,0.0
No major movement in gold prices because of market volatility,neutral,0,2020-09-16,1580.033380741863,1576.6437825910634,-0.1,1576.6437825910634,-0.1
Gold prices are rising due to inflation,positive,1,2020-09-17,1581.758782112092,1577.5108416804403,0.0,1577.5108416804403,0.0
Gold market weakens as central bank policies declines,negative,-1,2020-09-18,1579.0095697475244,1578.29009669346,0.0,1578.29009669346,0.0
Gold demand is increasing amid central bank policies,positive,1,2020-09-19,1576.0853961452078,1577.906802811813,0.0,1577.906802811813,0.0
Gold prices remain stable despite geopolitical risks,neutral,0,2020-09-20,1578.3043155562093,1578.2856604813053,0.1,1578.2856604813053,0.1
Gold demand is decreasing amid strong dollar,negative,-1,2020-09-21,1571.239237316856,1577.765412594867,0.0,1577.765412594867,0.0
Gold prices are rising due to central bank policies,positive,1,2020-09-22,1572.0279775845815,1577.001940502021,0.0,1577.001940502021,0.0
Gold demand is decreasing amid global tensions,negative,-1,2020-09-23,1566.164258713732,1575.1994103230115,-0.1,1575.1994103230115,-0.1
No major movement in gold prices because of strong dollar,neutral,0,2020-09-24,1564.949121174574,1574.5209920859684,0.0,1574.5209920859684,0.0
Gold prices remain stable despite geopolitical risks,neutral,0,2020-09-25,1560.8729234345658,1573.0444962527206,0.0,1573.0444962527206,0.0
Strong buying interest pushes gold higher due to strong dollar,positive,1,2020-09-26,1564.9455323280304,1571.5357114113372,0.1,1571.5357114113372,0.1
Gold market shows little change amid strong dollar,neutral,0,2020-09-27,1573.8722691768364,1570.7470601178118,0.0,1570.7470601178118,0.0
Gold prices remain stable despite investor sentiment,neutral,0,2020-09-28,1570.265671374089,1569.8726702804684,0.1,1569.8726702804684,0.1
Gold prices are falling because of central bank policies,negative,-1,2020-09-29,1568.394102275744,1569.1035408935218,-0.1,1569.1035408935218,-0.1
Gold prices are rising due to geopolitical risks,positive,1,2020-09-30,1564.8521040577225,1567.7583197436732,0.0,1567.7583197436732,0.0
Gold prices are falling because of market volatility,negative,-1,2020-10-01,1564.889588321642,1567.123354844152,0.0,1567.123354844152,0.0
Gold is gaining value as central bank policies improves,positive,1,2020-10-02,1570.615947481061,1566.9821518338,0.0,1566.9821518338,0.0
Gold demand is increasing amid central bank policies,positive,1,2020-10-03,1565.8232276270471,1566.9480487251312,0.2,1566.9480487251312,0.2
Gold prices remain stable despite geopolitical risks,neutral,0,2020-10-04,1566.4330603509634,1567.0964426427702,0.2,1567.0964426427702,0.2
No major movement in gold prices because of global tensions,neutral,0,2020-10-05,1568.3636097323017,1567.8455112725435,0.2,1567.8455112725435,0.2
Gold prices are falling because of global tensions,negative,-1,2020-10-06,1575.726011371696,1568.9235591769102,0.0,1568.9235591769102,0.0
No major movement in gold prices because of stock market fluctuations,neutral,0,2020-10-07,1576.4795359645002,1569.1842858556768,0.0,1569.1842858556768,0.0
Strong buying interest pushes gold higher due to geopolitical risks,positive,1,2020-10-08,1576.0037074988852,1569.7580894681564,0.1,1569.7580894681564,0.1
Gold prices are rising due to stock market fluctuations,positive,1,2020-10-09,1576.4351703676898,1570.5621962773507,0.3,1570.5621962773507,0.3
Gold market weakens as economic uncertainty declines,negative,-1,2020-10-10,1573.920696764063,1571.4690555479851,0.1,1571.4690555479851,0.1
Gold remains unchanged in light of investor sentiment,neutral,0,2020-10-11,1574.3196391598008,1572.4120606318006,0.2,1572.4120606318006,0.2
Gold market weakens as central bank policies declines,negative,-1,2020-10-12,1574.3630310213498,1572.7867689858297,0.0,1572.7867689858297,0.0
Gold prices are rising due to geopolitical risks,positive,1,2020-10-13,1567.3140609624538,1572.9358523193705,0.0,1572.9358523193705,0.0
Investors are optimistic about gold because of inflation,positive,1,2020-10-14,1569.390578553971,1573.2316041396712,0.1,1573.2316041396712,0.1
Strong buying interest pushes gold higher due to stock market fluctuations,positive,1,2020-10-15,1561.2408399589249,1572.5193271623334,0.2,1572.5193271623334,0.2
Gold prices remain stable despite geopolitical risks,neutral,0,2020-10-16,1556.4294209843508,1570.589668123599,0.3,1570.589668123599,0.3
Gold demand is decreasing amid central bank policies,negative,-1,2020-10-17,1550.243337134158,1567.9660482405648,0.2,1567.9660482405648,0.2
Investors are worried about gold due to central bank policies,negative,-1,2020-10-18,1553.4047336665233,1565.7061508573283,0.0,1565.7061508573283,0.0
Investors are optimistic about gold because of market volatility,positive,1,2020-10-19,1553.4819220538193,1563.410826025941,0.0,1563.410826025941,0.0
Selling pressure reduces gold value because of inflation,negative,-1,2020-10-20,1553.562494619187,1561.3750058114538,0.0,1561.3750058114538,0.0
Selling pressure reduces gold value because of strong dollar,negative,-1,2020-10-21,1562.77089166296,1560.2201310617695,-0.1,1560.2201310617695,-0.1
Selling pressure reduces gold value because of market volatility,negative,-1,2020-10-22,1556.6922907967428,1558.453057039309,-0.1,1558.453057039309,-0.1
No major movement in gold prices because of investor sentiment,neutral,0,2020-10-23,1550.9054857961933,1556.8121995226832,-0.2,1556.8121995226832,-0.2
Gold prices are falling because of strong dollar,negative,-1,2020-10-24,1551.9537002176628,1555.0685116890522,-0.4,1555.0685116890522,-0.4
Gold prices remain stable despite market volatility,neutral,0,2020-10-25,1554.414399944577,1554.3858676876175,-0.5,1554.3858676876175,-0.5
Selling pressure reduces gold value because of investor sentiment,negative,-1,2020-10-26,1566.7222409834303,1555.4151496875252,-0.6,1555.4151496875252,-0.6
Gold market shows little change amid economic uncertainty,neutral,0,2020-10-27,1563.4832257237838,1556.739138546488,-0.5,1556.739138546488,-0.5
Gold market shows little change amid investor sentiment,neutral,0,2020-10-28,1569.36413284061,1558.3350784638967,-0.4,1558.3350784638967,-0.4
Gold prices remain stable despite weak currency,neutral,0,2020-10-29,1572.2329559155914,1560.210181850074,-0.5,1560.210181850074,-0.5
Gold prices are falling because of stock market fluctuations,negative,-1,2020-10-30,1578.677498462781,1562.7216822344333,-0.5,1562.7216822344333,-0.5
Gold is trading sideways due to geopolitical risks,neutral,0,2020-10-31,1576.8497042549695,1564.129563493634,-0.4,1564.129563493634,-0.4
Gold demand is increasing amid strong dollar,positive,1,2020-11-01,1586.6073763357776,1567.1210720475378,-0.2,1567.1210720475378,-0.2
Investors are optimistic about gold because of global tensions,positive,1,2020-11-02,1584.2898070184915,1570.4595041697671,-0.1,1570.4595041697671,-0.1
Gold prices are rising due to inflation,positive,1,2020-11-03,1583.1661036404455,1573.5807445120458,0.1,1573.5807445120458,0.1
Selling pressure reduces gold value because of strong dollar,negative,-1,2020-11-04,1568.8168705058763,1575.0209915681758,0.0,1575.0209915681758,0.0
Gold prices are rising due to market volatility,positive,1,2020-11-05,1564.1353909597606,1574.7623065658088,0.2,1574.7623065658088,0.2
Gold demand is decreasing amid inflation,negative,-1,2020-11-06,1563.1745335942587,1574.7314373528563,0.1,1574.7314373528563,0.1
Gold prices are rising due to investor sentiment,positive,1,2020-11-07,1559.4978150150014,1573.7448055702953,0.2,1573.7448055702953,0.2
Gold market weakens as investor sentiment declines,negative,-1,2020-11-08,1560.10836249708,1572.532346228444,0.1,1572.532346228444,0.1
Gold is gaining value as interest rate changes improves,positive,1,2020-11-09,1564.036213390567,1571.0682177212227,0.3,1571.0682177212227,0.3
Gold prices remain stable despite investor sentiment,neutral,0,2020-11-10,1565.8234728287753,1569.9655945786037,0.3,1569.9655945786037,0.3
No major movement in gold prices because of weak currency,neutral,0,2020-11-11,1573.8537694831243,1568.6902338933382,0.2,1568.6902338933382,0.2
Gold demand is increasing amid market volatility,positive,1,2020-11-12,1577.911256973308,1568.0523788888197,0.2,1568.0523788888197,0.2
Gold is gaining value as geopolitical risks improves,positive,1,2020-11-13,1573.708889937169,1567.106657518492,0.2,1567.106657518492,0.2
Gold is trading sideways due to geopolitical risks,neutral,0,2020-11-14,1571.203459908783,1567.3453164587827,0.3,1567.3453164587827,0.3
Gold market weakens as strong dollar declines,negative,-1,2020-11-15,1569.187177721971,1567.8504951350037,0.1,1567.8504951350037,0.1
Gold is gaining value as geopolitical risks improves,positive,1,2020-11-16,1574.001813697119,1568.9332231452895,0.3,1568.9332231452895,0.3
Gold demand is decreasing amid weak currency,negative,-1,2020-11-17,1571.7873895188984,1570.1621805956795,0.1,1570.1621805956795,0.1
Gold is trading sideways due to market volatility,neutral,0,2020-11-18,1570.9808883264518,1571.2494331786168,0.2,1571.2494331786168,0.2
Gold prices remain stable despite strong dollar,neutral,0,2020-11-19,1559.831970919472,1570.8290089315074,0.1,1570.8290089315074,0.1
Gold is gaining value as weak currency improves,positive,1,2020-11-20,1560.062394925832,1570.252901141213,0.2,1570.252901141213,0.2
No major movement in gold prices because of stock market fluctuations,neutral,0,2020-11-21,1556.0852619448506,1568.4760503873854,0.2,1568.4760503873854,0.2
Selling pressure reduces gold value because of central bank policies,negative,-1,2020-11-22,1560.7023637245206,1566.7551610625069,0.0,1566.7551610625069,0.0
Strong buying interest pushes gold higher due to global tensions,positive,1,2020-11-23,1562.4747625311722,1565.631748321907,0.0,1565.631748321907,0.0
Strong buying interest pushes gold higher due to central bank policies,positive,1,2020-11-24,1561.2427409292534,1564.635676423954,0.1,1564.635676423954,0.1
Gold demand is increasing amid economic uncertainty,positive,1,2020-11-25,1561.5400258087084,1563.870961232628,0.3,1563.870961232628,0.3
Strong buying interest pushes gold higher due to market volatility,positive,1,2020-11-26,1555.1124278525233,1561.9820226481684,0.3,1561.9820226481684,0.3
Gold market shows little change amid strong dollar,neutral,0,2020-11-27,1559.4967356315808,1560.7529572594365,0.4,1560.7529572594365,0.4
Investors are optimistic about gold because of economic uncertainty,positive,1,2020-11-28,1558.4977763587842,1559.5046460626695,0.5,1559.5046460626695,0.5
Gold market shows little change amid geopolitical risks,neutral,0,2020-11-29,1564.9955642647092,1560.0210053971934,0.5,1560.0210053971934,0.5
Gold market weakens as economic uncertainty declines,negative,-1,2020-11-30,1567.7228378290738,1560.7870496875175,0.3,1560.7870496875175,0.3
Selling pressure reduces gold value because of market volatility,negative,-1,2020-12-01,1561.8864481741248,1561.367168310445,0.2,1561.367168310445,0.2
Gold market weakens as stock market fluctuations declines,negative,-1,2020-12-02,1562.690101045402,1561.5659420425332,0.2,1561.5659420425332,0.2
Gold remains unchanged in light of market volatility,neutral,0,2020-12-03,1567.1087046396044,1562.0293362533764,0.1,1562.0293362533764,0.1
Gold remains unchanged in light of economic uncertainty,neutral,0,2020-12-04,1569.004243637654,1562.8054865242163,0.0,1562.8054865242163,0.0
Gold prices are rising due to interest rate changes,positive,1,2020-12-05,1572.1518039883988,1563.8666643421857,0.0,1563.8666643421857,0.0
Gold is trading sideways due to economic uncertainty,neutral,0,2020-12-06,1578.0076399270345,1566.1561855496368,-0.1,1566.1561855496368,-0.1
Gold demand is decreasing amid economic uncertainty,negative,-1,2020-12-07,1576.11987788319,1567.8184997747976,-0.2,1567.8184997747976,-0.2
Gold is gaining value as inflation improves,positive,1,2020-12-08,1579.7461570256046,1569.9433378414797,-0.2,1569.9433378414797,-0.2
Investors are optimistic about gold because of investor sentiment,positive,1,2020-12-09,1571.3533033791268,1570.579111752921,-0.1,1570.579111752921,-0.1
Selling pressure reduces gold value because of global tensions,negative,-1,2020-12-10,1571.1070997070588,1570.91753794072,-0.1,1570.91753794072,-0.1
Gold is gaining value as geopolitical risks improves,positive,1,2020-12-11,1575.849302913815,1572.3138234146888,0.1,1572.3138234146888,0.1
Gold is gaining value as central bank policies improves,positive,1,2020-12-12,1574.8027530299428,1573.525088613143,0.3,1573.525088613143,0.3
Gold market weakens as economic uncertainty declines,negative,-1,2020-12-13,1577.366885374167,1574.550906686599,0.2,1574.550906686599,0.2
Gold prices remain stable despite central bank policies,neutral,0,2020-12-14,1582.9780988306009,1575.948292205894,0.2,1575.948292205894,0.2
Gold remains unchanged in light of inflation,neutral,0,2020-12-15,1576.4670075087977,1576.3798125579335,0.1,1576.3798125579335,0.1
Gold demand is decreasing amid global tensions,negative,-1,2020-12-16,1575.6801651312803,1576.1470650783583,0.0,1576.1470650783583,0.0
Strong buying interest pushes gold higher due to investor sentiment,positive,1,2020-12-17,1572.5004285374632,1575.7851201437857,0.2,1575.7851201437857,0.2
Selling pressure reduces gold value because of global tensions,negative,-1,2020-12-18,1567.125240821225,1574.5230285233476,0.0,1574.5230285233476,0.0
Gold is gaining value as inflation improves,positive,1,2020-12-19,1572.9198163933577,1574.6796798247708,0.0,1574.6796798247708,0.0
Gold is trading sideways due to interest rate changes,neutral,0,2020-12-20,1570.7537614947116,1574.6443460035362,0.1,1574.6443460035362,0.1
No major movement in gold prices because of economic uncertainty,neutral,0,2020-12-21,1570.593930849516,1574.1188087971063,0.0,1574.1188087971063,0.0
Gold demand is increasing amid weak currency,positive,1,2020-12-22,1571.6630489607649,1573.8048383901885,0.0,1573.8048383901885,0.0
Gold prices are falling because of global tensions,negative,-1,2020-12-23,1569.991747745071,1573.0673246272788,0.0,1573.0673246272788,0.0
Strong buying interest pushes gold higher due to strong dollar,positive,1,2020-12-24,1565.4810780720193,1571.3176225514203,0.1,1571.3176225514203,0.1
Gold market weakens as economic uncertainty declines,negative,-1,2020-12-25,1556.2360806877266,1569.2945298693137,0.0,1569.2945298693137,0.0
Gold prices are rising due to geopolitical risks,positive,1,2020-12-26,1551.9747327124453,1566.92398662743,0.2,1566.92398662743,0.2
Strong buying interest pushes gold higher due to market volatility,positive,1,2020-12-27,1555.9849204839124,1565.272435822075,0.2,1565.272435822075,0.2
Gold is gaining value as geopolitical risks improves,positive,1,2020-12-28,1564.2424637926008,1564.9841581192125,0.4,1564.9841581192125,0.4
Gold is trading sideways due to weak currency,neutral,0,2020-12-29,1566.6666093218,1564.3588374120568,0.3,1564.3588374120568,0.3
Gold prices remain stable despite global tensions,neutral,0,2020-12-30,1567.7448785233264,1564.0579491149183,0.3,1564.0579491149183,0.3
Gold demand is decreasing amid economic uncertainty,negative,-1,2020-12-31,1565.6069608121195,1563.5592521111787,0.2,1563.5592521111787,0.2
Strong buying interest pushes gold higher due to inflation,positive,1,2021-01-01,1562.9024249533622,1562.6831897104382,0.2,1562.6831897104382,0.2
No major movement in gold prices because of global tensions,neutral,0,2021-01-02,1566.418727499755,1562.3258876859068,0.3,1562.3258876859068,0.3
Gold is trading sideways due to inflation,neutral,0,2021-01-03,1570.0871817616544,1562.7864980548704,0.2,1562.7864980548704,0.2
Gold demand is decreasing amid economic uncertainty,negative,-1,2021-01-04,1573.8454300878973,1564.5474329948872,0.2,1564.5474329948872,0.2
Gold remains unchanged in light of weak currency,neutral,0,2021-01-05,1572.1179130522455,1566.5617510288675,0.1,1566.5617510288675,0.1
Gold demand is decreasing amid interest rate changes,negative,-1,2021-01-06,1578.4313851780507,1568.806397498281,-0.1,1568.806397498281,-0.1
Gold prices are falling because of strong dollar,negative,-1,2021-01-07,1579.6831439379075,1570.350465512812,-0.3,1570.350465512812,-0.3
Investors are optimistic about gold because of strong dollar,positive,1,2021-01-08,1571.950687245156,1570.8788733051474,-0.2,1570.8788733051474,-0.2
Gold demand is increasing amid economic uncertainty,positive,1,2021-01-09,1573.0977984739202,1571.4141653002068,-0.1,1571.4141653002068,-0.1
Gold market weakens as market volatility declines,negative,-1,2021-01-10,1586.154565281239,1573.4689257471186,-0.1,1573.4689257471186,-0.1
Gold is trading sideways due to weak currency,neutral,0,2021-01-11,1594.0353340951265,1576.5822166612954,-0.2,1576.5822166612954,-0.2
Selling pressure reduces gold value because of market volatility,negative,-1,2021-01-12,1598.873439621531,1579.8276878734728,-0.3,1579.8276878734728,-0.3
Gold remains unchanged in light of weak currency,neutral,0,2021-01-13,1589.7479581326602,1581.7937655105734,-0.3,1581.7937655105734,-0.3
Gold market weakens as central bank policies declines,negative,-1,2021-01-14,1590.9571964355346,1583.5049421453373,-0.3,1583.5049421453373,-0.3
Gold prices remain stable despite central bank policies,neutral,0,2021-01-15,1592.8505645741216,1585.5782072975246,-0.3,1585.5782072975246,-0.3
Investors are worried about gold due to geopolitical risks,negative,-1,2021-01-16,1587.775685556697,1586.5126373353894,-0.3,1586.5126373353894,-0.3
Strong buying interest pushes gold higher due to inflation,positive,1,2021-01-17,1597.0377588822134,1588.2480988298198,-0.1,1588.2480988298198,-0.1
Gold prices remain stable despite market volatility,neutral,0,2021-01-18,1608.3611437253487,1591.8891444778392,-0.2,1591.8891444778392,-0.2
Strong buying interest pushes gold higher due to stock market fluctuations,positive,1,2021-01-19,1608.3999293457755,1595.4193575650247,-0.2,1595.4193575650247,-0.2
Investors are optimistic about gold because of economic uncertainty,positive,1,2021-01-20,1602.3695180376194,1597.0408528406629,0.0,1597.0408528406629,0.0
Gold is gaining value as market volatility improves,positive,1,2021-01-21,1599.812556659076,1597.6185750970578,0.1,1597.6185750970578,0.1
Gold is trading sideways due to weak currency,neutral,0,2021-01-22,1592.7087550614035,1597.002106641045,0.2,1597.002106641045,0.2
Gold is trading sideways due to stock market fluctuations,neutral,0,2021-01-23,1599.4108037711237,1597.9683912048913,0.2,1597.9683912048913,0.2
Gold is trading sideways due to market volatility,neutral,0,2021-01-24,1607.1871099401333,1599.5913825553512,0.3,1599.5913825553512,0.3
Strong buying interest pushes gold higher due to investor sentiment,positive,1,2021-01-25,1604.245137327663,1600.7308398307057,0.4,1600.7308398307057,0.4
Gold prices are rising due to interest rate changes,positive,1,2021-01-26,1602.573775997984,1602.210648874834,0.6,1602.210648874834,0.6
Gold remains unchanged in light of market volatility,neutral,0,2021-01-27,1604.7706080083624,1602.9839337874491,0.5,1602.9839337874491,0.5
Gold market weakens as global tensions declines,negative,-1,2021-01-28,1596.3555573243189,1601.783375147346,0.4,1601.783375147346,0.4
Strong buying interest pushes gold higher due to stock market fluctuations,positive,1,2021-01-29,1594.0484358562176,1600.34822579839,0.4,1600.34822579839,0.4
Gold demand is decreasing amid economic uncertainty,negative,-1,2021-01-30,1600.9452853818016,1600.2058025328083,0.2,1600.2058025328083,0.2
Gold is trading sideways due to central bank policies,neutral,0,2021-01-31,1597.9487730268147,1600.0194241695822,0.1,1600.0194241695822,0.1
Gold is trading sideways due to investor sentiment,neutral,0,2021-02-01,1593.6825423096982,1600.1168028944116,0.1,1600.1168028944116,0.1
Gold is gaining value as global tensions improves,positive,1,2021-02-02,1588.5710525046502,1599.0328277677645,0.2,1599.0328277677645,0.2
Gold prices are falling because of weak currency,negative,-1,2021-02-03,1589.3769631900514,1597.251813092756,0.1,1597.251813092756,0.1
Investors are optimistic about gold because of central bank policies,positive,1,2021-02-04,1590.1383584332111,1595.841135203311,0.1,1595.841135203311,0.1
Gold prices remain stable despite economic uncertainty,neutral,0,2021-02-05,1598.4484664049637,1595.428604244009,0.0,1595.428604244009,0.0
Gold remains unchanged in light of stock market fluctuations,neutral,0,2021-02-06,1601.4170298214392,1595.0932464253167,0.0,1595.0932464253167,0.0
Gold market shows little change amid weak currency,neutral,0,2021-02-07,1598.3356586376597,1595.2912565566508,0.1,1595.2912565566508,0.1
Gold prices are rising due to market volatility,positive,1,2021-02-08,1588.5132360712444,1594.737736578153,0.1,1594.737736578153,0.1
Gold market shows little change amid weak currency,neutral,0,2021-02-09,1588.441189769709,1593.4873270169442,0.2,1593.4873270169442,0.2
Investors are worried about gold due to investor sentiment,negative,-1,2021-02-10,1587.452298377472,1592.4376795520095,0.1,1592.4376795520095,0.1
Gold remains unchanged in light of inflation,neutral,0,2021-02-11,1585.7551808584076,1591.6449434068809,0.1,1591.6449434068809,0.1
Strong buying interest pushes gold higher due to weak currency,positive,1,2021-02-12,1577.2315222446828,1590.510990380884,0.1,1590.510990380884,0.1
Gold remains unchanged in light of strong dollar,neutral,0,2021-02-13,1580.5047904479006,1589.623773106669,0.2,1589.623773106669,0.2
Gold is trading sideways due to market volatility,neutral,0,2021-02-14,1584.418772167501,1589.0518144800978,0.1,1589.0518144800978,0.1
Gold market shows little change amid stock market fluctuations,neutral,0,2021-02-15,1590.4858197744784,1588.255549817049,0.1,1588.255549817049,0.1
Selling pressure reduces gold value because of stock market fluctuations,negative,-1,2021-02-16,1592.2088767579871,1587.3347345107045,0.0,1587.3347345107045,0.0
Gold is gaining value as market volatility improves,positive,1,2021-02-17,1591.972676622334,1586.6984363091717,0.1,1586.6984363091717,0.1
Gold remains unchanged in light of economic uncertainty,neutral,0,2021-02-18,1585.6734415006722,1586.4144568521144,0.0,1586.4144568521144,0.0
Gold prices are falling because of stock market fluctuations,negative,-1,2021-02-19,1590.289695970938,1586.5993074722371,-0.1,1586.5993074722371,-0.1
Strong buying interest pushes gold higher due to inflation,positive,1,2021-02-20,1594.81343939699,1587.3354215741892,0.1,1587.3354215741892,0.1
Gold prices remain stable despite central bank policies,neutral,0,2021-02-21,1599.7488180866192,1588.73478529701,0.1,1588.73478529701,0.1
Gold market shows little change amid interest rate changes,neutral,0,2021-02-22,1600.5425819305672,1591.0658912655988,0.0,1591.0658912655988,0.0
Gold market shows little change amid stock market fluctuations,neutral,0,2021-02-23,1599.3568324538192,1592.9510954661905,0.0,1592.9510954661905,0.0
Investors are optimistic about gold because of strong dollar,positive,1,2021-02-24,1599.5472205796343,1594.4639403074038,0.1,1594.4639403074038,0.1
Gold market shows little change amid central bank policies,neutral,0,2021-02-25,1606.8377755392612,1596.0991358838824,0.1,1596.0991358838824,0.1
No major movement in gold prices because of central bank policies,neutral,0,2021-02-26,1599.9999864397282,1596.8782468520562,0.2,1596.8782468520562,0.2
Investors are worried about gold due to central bank policies,negative,-1,2021-02-27,1590.974820914577,1596.778461281281,0.0,1596.778461281281,0.0
Gold is trading sideways due to geopolitical risks,neutral,0,2021-02-28,1597.2846479940863,1597.939581930622,0.0,1597.939581930622,0.0
Gold prices remain stable despite inflation,neutral,0,2021-03-01,1595.0567311459486,1598.4162854481233,0.1,1598.4162854481233,0.1
Strong buying interest pushes gold higher due to inflation,positive,1,2021-03-02,1593.0066126912466,1598.2356027775488,0.1,1598.2356027775488,0.1
